sample_id,Number of cleaners
0,10.0
1,13.10344827586207
2,16.20689655172414
3,19.310344827586206
4,22.413793103448278
5,25.517241379310345
6,28.620689655172413
7,31.724137931034484
8,34.827586206896555
9,37.93103448275862
10,41.03448275862069
11,44.13793103448276
12,47.241379310344826
13,50.3448275862069
14,53.44827586206897
15,56.55172413793103
16,59.6551724137931
17,62.758620689655174
18,65.86206896551724
19,68.9655172413793
20,72.06896551724138
21,75.17241379310344
22,78.27586206896552
23,81.37931034482759
24,84.48275862068965
25,87.58620689655173
26,90.6896551724138
27,93.79310344827586
28,96.89655172413794
29,100.0
